example_id,conversation_id,customer_message,conversation_context,intent,expected_escalation,escalation_reason,difficulty,annotator_notes,human_reviewed,review_action,preliminary_intent,preliminary_escalation,preliminary_difficulty
59,2560226,"@AmazonHelp Had a missing order, got told it would still arrive today, then told it now won't be by another person, got told I'd be given £5 promo credit, then wasn't","[2560226] AMAZONHELP: @726689 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more information? ^AC
[2560227] CUSTOMER: @AmazonHelp Had a missing order, got told it would still arrive today, then told it now won't be by another person, got told I'd be given £5 promo credit, then wasn't
[2560229] AMAZONHELP: @726689 Your promotional credit is automatically added to your account and will be applied to your next order. You can view it on the Order Summary page before you complete the order. 

Keep us updated on the delivery! ^TK
[2560230] CUSTOMER: @AmazonHelp No what I'm saying is that one chat member said I would get it, then the third person I ended up talking to had said the credit hadn't been applied at all
[2560231] AMAZONHELP: @726689 Did the last person you spoke with mention they would honor the promo promised by the other agent? If not, what options did they provide? ^NC
[2560232] CUSTOMER: @AmazonHelp Yes, however when I go to make an order the credit is still not applied
[2560233] AMAZONHELP: @726689 Are all the items in your order shipped and sold by Amazon? Promotional credit will only apply to items shipped and sold by Amazon. ^SA",payment_promo_giftcard,True,"The customer was promised a £5 promotional credit, but it is not appearing/applying to their account, requiring account/promo verification",Medium,"The missing order is part of the context, but the current unresolved issue is the promised £5 promo credit not being applied. So the AI's intent is correct, despite the multi-issue history.",True,corrected,payment_promo_giftcard,True,Medium
60,852809,@AmazonHelp yes. The delivery was scheduled on 20th October.,"[852809] AMAZONHELP: @322590 We ship the products to meet the estimates. Could you please tell us if we've missed the estimated delivery date? ^HN
[852810] CUSTOMER: @AmazonHelp yes. The delivery was scheduled on 20th October.
[852812] AMAZONHELP: @322590 Sorry about missing out on this delivery. May I know if you reported this to our support team here: https://t.co/vlvfJr4nN9? ^BS
[852813] CUSTOMER: @AmazonHelp yes several times.
[852814] AMAZONHELP: @322590 We'd like to get this checked, kindly share your details here: https://t.co/GIJyeYqKE0, and we'll reach out to you soon. ^MA",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
61,321383,@AmazonHelp I need my product at any cost today.  Else i have to process an refund request for the same,"[321383] AMAZONHELP: @192570 I'm sorry for that. Could you please elaborate your concern so that I can assist you accordingly? ^AU
[321384] CUSTOMER: @AmazonHelp I need my product at any cost today.  Else i have to process an refund request for the same
[321385] CUSTOMER: @AmazonHelp Have placed order for iphone 6 with guaranteed delivery within 24 hrs paying extra 150/- but till now i have not received the product.
[321387] CUSTOMER: @AmazonHelp @115850  can you please act on this urgently
[321388] AMAZONHELP: @192570 I'm sorry for the delay of your product. Please get in touch with us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU
[321389] CUSTOMER: @AmazonHelp @115850 what to do with that link i have spoken to your support team several times but they were not able to help me on that scenario
[321390] AMAZONHELP: @192570 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG",delivery_shipping_delay,True,Requires order lookup to investigate the missed guaranteed delivery and current shipment status,Easy,"The customer mentions a possible refund, but the actual current problem is that the iPhone 6 has not arrived despite guaranteed 24-hour delivery and an extra ₹150 payment. They are saying they may request a refund if it doesn't arrive, not currently asking about the refund process.",True,corrected,returns_refund_inquiry,True,Easy
62,2329641,"@AmazonHelp Exchange then request refund. But that was ""Not possible"". 2 of 2","[2329641] AMAZONHELP: @622225 I'm sorry for the frustration! Have you had a chance to reach out to us about this? If so, what info were we able to provide? ^AC
[2329642] CUSTOMER: @AmazonHelp Exchange then request refund. But that was ""Not possible"". 2 of 2
[2329643] CUSTOMER: @AmazonHelp The game itself is individually packaged and skewed but they will not ""split"" the return. I offered to buy a second ""gold"" copy 1 of 2
[2329644] CUSTOMER: @AmazonHelp Yes called support, item is out of stock They will offer store credit only. I want to keep the collectors edition. So this left me no option",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
63,1296553,@AmazonHelp I  sent  many emailS from  link you gave. I was told a refund of  £30.75 will be given on 27 september but no refund yet.Can u sort out ASAP,"[1296553] AMAZONHELP: @206187 Hi. Sorry to hear this. Please get in touch here: https://t.co/JzP7hlA23B and we'll investigate this for you. ^RL
[1296554] CUSTOMER: @AmazonHelp I  sent  many emailS from  link you gave. I was told a refund of  £30.75 will be given on 27 september but no refund yet.Can u sort out ASAP
[1296556] AMAZONHELP: @206187 Sorry to hear that. We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
64,52932,"@AmazonHelp There is no option there, just says my refund has been issued as i requested - i did not request a refund!","[52932] AMAZONHELP: @127923 I'm sorry for the trouble, Daniela! Have you been able to view available resolution options here?: https://t.co/aaDyEz1VgE ^SD
[52933] CUSTOMER: @AmazonHelp There is no option there, just says my refund has been issued as i requested - i did not request a refund!
[52935] AMAZONHELP: @127923 Please give us a call at: 0 800 279 7234. Keep us posted.  ^CO
[52936] CUSTOMER: @AmazonHelp I am in Norway, is that an american number? Wow, been shopping a lot at Amazon lately, but i must say this time it was a letdown!
[52937] CUSTOMER: @AmazonHelp How difficult could it be that some problem happened at DHL and send me the book again?
[52938] AMAZONHELP: @127923 We can be reached at 1-206-266-2992, charges may apply. We're also available toll free here: https://t.co/hApLpMlfHN ^LR
[52939] CUSTOMER: @AmazonHelp So i will just accept the refund i did not ask for and buy the book in another place, thank you.
[52940] AMAZONHELP: @127923 We don't have access to your account, on Twitter. You'll want to contact us using the info above to explore that option. ^AF",returns_refund_inquiry,True,Requires order/account investigation because a refund was issued that the customer says they did not request,Medium,"he AI intent is correct, but this is not a normal refund-status inquiry. The customer disputes an apparently unauthorized refund and wants the original book/order resolved. This requires account/order investigation.",True,corrected,returns_refund_inquiry,True,Easy
65,5126,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,"[5126] AMAZONHELP: @116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ
[5127] CUSTOMER: @AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H
[5128] CUSTOMER: @AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.
[5129] AMAZONHELP: @116914 I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: https://t.co/hApLpMlfHN ^MO
[5130] AMAZONHELP: @116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC",delivery_shipping_delay,True,"Package is marked delivered but a specific item (controller) is missing, requiring order/package investigation",Medium,"AI focused on the customer's refund request, but the conversation shows the underlying issue is a missing item from a delivered package. The refund demand is a requested resolution, not the primary support intent.",True,corrected,returns_refund_inquiry,True,Easy
66,1075338,@AmazonHelp It seems u guys out of replacement remotes. Customer support asking me to buy from Amazon and later they will refund the money. Seriously...,"[1075338] AMAZONHELP: @128307 I'm sorry about the trouble with the remote. We'd like to help, kindly share your details here: https://t.co/1827zgjucg ^MA
[1075339] CUSTOMER: @AmazonHelp It seems u guys out of replacement remotes. Customer support asking me to buy from Amazon and later they will refund the money. Seriously...
[1075341] AMAZONHELP: @128307 That is quite a remark, Harshad. Kindly fill in your details here: https://t.co/XrFaKSlzHt and we will get back to you. ^KS
[1075342] CUSTOMER: @AmazonHelp I have filled the details and explained the situation. Kindly help me to resolve the matter n help me restore my trust in @128308
[1075343] AMAZONHELP: @128307 As you've shared your details in the link, we'll check and get back to you with an update. ^MK
[1075344] CUSTOMER: @AmazonHelp Any update?
[1075345] AMAZONHELP: @128307 You should have received an email communication here: https://t.co/epkicMA1Dy ^RW
[1075346] CUSTOMER: @AmazonHelp Yes I did and they said what you said.... We'll get back to you...
[1075347] AMAZONHELP: @128307 I'd request you to respond to the email so we could take it from there. ^JC",delivery_shipping_delay,True,Customer has a problem with a replacement remote and Amazon's proposed resolution requires an order/account check and reimbursement.,Medium,AI incorrectly classified this as a refund inquiry. The primary issue is the unavailable replacement remote; the refund is only the proposed resolution for buying a replacement.,True,corrected,returns_refund_inquiry,True,Easy
67,535766,"@115850 #fraudamazon #cheat #dontbuy
Order id:406-1634211-8172338
Bought a product with 1year warranty, product damaged, no replacement or refund, seller cheated too.
Never trust Amazon.in","[535766] AMAZONHELP: @244124 So, kindly reach out to the nearest manufacturer or the service center for further assistance. Also, please don't provide your order details as we consider it personal information. Our twitter page is visible to public. 2/2 ^NK
[535767] CUSTOMER: @115850 #fraudamazon #cheat #dontbuy
Order id:406-1634211-8172338
Bought a product with 1year warranty, product damaged, no replacement or refund, seller cheated too.
Never trust Amazon.in
[535768] AMAZONHELP: @244124 I get your disappointment, Ronak. I'd like to inform you that every electronic item on Amazon has certain return window. If the return window expires, we wouldn't be able to accept the return. You may check the return policy here: https://t.co/QQPss3mtQM. 1/2 ^NK",item_condition_issue,True,The product is damaged and the customer has been denied replacement/refund; resolving the warranty/product issue requires order or seller investigation.,Medium,,True,corrected,returns_refund_inquiry,True,Easy
68,1589545,"@115850 Order 408-6046562-5134714 
Order 408-9691629-2196333
amazon not refund provide me . and not talking me i am pay 2 time payment","[1589545] AMAZONHELP: @488767 personal information. Our page is visible to the public. (2/2) ^SF
[1589546] CUSTOMER: @115850 Order 408-6046562-5134714 
Order 408-9691629-2196333
amazon not refund provide me . and not talking me i am pay 2 time payment
[1589547] AMAZONHELP: @488767 We have responded to your DM.  Please don't provide your order details, we consider it to be (1/2) ^SF",payment_promo_giftcard,True,"Customer reports being charged twice and not receiving a refund, requiring payment/account/order verification.",Medium,"The AI focused on the refund, but the more specific primary issue is duplicate payment (paid twice) with an unresolved refund. This fits payment_promo_giftcard better than a general refund inquiry",True,corrected,returns_refund_inquiry,True,Easy
69,347513,@AmazonHelp I have filled up this form via this link almost 5 times now... yet you keep sending this scripted reply.... just refund my 40k money,"[347513] AMAZONHELP: @198757 Sorry about that. I'd like to help. Please fill in your details here: https://t.co/JzRdscmdH9 and I'll get in touch with you.^AK
[347514] CUSTOMER: @AmazonHelp I have filled up this form via this link almost 5 times now... yet you keep sending this scripted reply.... just refund my 40k money",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
70,124779,@AmazonHelp I have received only one reply that case is handled by highest escalation team who has confirmed refund in one email and denied in second. No integrity @115851 @1560,"[124779] AMAZONHELP: @143953 I understand your frustration, Sumit. You should've received an email correspondence from our team. Please reply to the same for further assistance. Please don't provide your details, we consider it personal information. Our Twitter page is visible to public.^MK
[124780] CUSTOMER: @AmazonHelp I have received only one reply that case is handled by highest escalation team who has confirmed refund in one email and denied in second. No integrity @115851 @1560
[124781] CUSTOMER: @AmazonHelp Can I expect resolution from the boss @115851 @115850 @115821 @1560
[124783] AMAZONHELP: @143953 The resolution provided in the email by our specialist team is the best we can offer. I'm sorry we'll not be able to provide any further insight on this. ^SH
[124784] CUSTOMER: @AmazonHelp What was the resolution? @115851 shame on you
[124785] AMAZONHELP: @143953 We will not be able to provide any further insight regarding this query. Appreciate your understanding. ^AK
[124786] CUSTOMER: @AmazonHelp This is rubbish, i can file a formal suit against you based on your email confirmation. Law is there to protect consumers @1560 @115851
[124787] CUSTOMER: @AmazonHelp #apnidukan is a myth, you only fool customers @115851 @1560",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
71,2508124,"@AmazonHelp I've already sent an email through your system. But yes, I find your current, return everything including items that will end up in the trash, system distasteful, inconvenient and extra wasteful.","[2508124] AMAZONHELP: @715045 We'd like to assist if you need us. Are you having trouble with a current order? ^SJ
[2508125] CUSTOMER: @AmazonHelp I've already sent an email through your system. But yes, I find your current, return everything including items that will end up in the trash, system distasteful, inconvenient and extra wasteful.",returns_refund_inquiry,True,General complaint about Amazon's return policy/system; no specific order or refund investigation is requested,Easy,,True,corrected,returns_refund_inquiry,True,Easy
72,1434014,@AmazonHelp why the exchange price for OnePlus 5 keeps fluctuating?,"[1434014] AMAZONHELP: @287451 you the lowest price, may result in fluctuations in our prices over time. [2/2] ^SK
[1434015] CUSTOMER: @AmazonHelp why the exchange price for OnePlus 5 keeps fluctuating?
[1434016] AMAZONHELP: @287451 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer [1/2] ^SK",payment_promo_giftcard,False,"This is a question about a fluctuating exchange price/offer, not a specific order or account issue requiring private investigation.",Medium,"unclear_other is too broad. The customer is specifically asking why the exchange price changes; in our taxonomy, this fits the closest pricing/payment-related intent. No account lookup is needed",True,corrected,unclear_other,True,Easy
73,86011,@AmazonHelp I've already done all of this. Just give me a refund. You guys shld also be compensating me for this unwanted stress and disgust. #Cheaters,"[86011] AMAZONHELP: @134783 Apologies for the trouble with the order received. Certainly not an intended experience for our customers. We'd like to help. Kindly report it to our support team here: https://t.co/vlvfJr4nN9 and we'll have this resolved at the earliest. ^KH
[86012] CUSTOMER: @AmazonHelp I've already done all of this. Just give me a refund. You guys shld also be compensating me for this unwanted stress and disgust. #Cheaters
[86014] AMAZONHELP: @134783 I can understand your situation. Kindly fill in your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^MN
[86015] CUSTOMER: @AmazonHelp I've filled in the details on link. Wht i have faced is #ridiculous &amp; I seek a refund + compensation on account of stress caused by you. I've been a regular customer of Amazon and never did I think you guys wld fill in crap in my parcel box instead of actual product #cheaters
[86016] AMAZONHELP: @134783 Thanks for confirming. We have received your details. We'll get back to you at the earliest. ^JS
[86017] CUSTOMER: @AmazonHelp Your agent who had come to pick up the parcel refused to take it saying it's impossible Amazon would change the product. I'm totally distressed because of you #cheaters
[86018] CUSTOMER: @AmazonHelp When will you get back? Do you realise what you guys have done? Send coconuts in place of actual product which is already paid. Is this how you treat customers??? #cheaters
[86019] AMAZONHELP: @134783 That's odd! I'm sorry for the trouble with the pick up. Our team is currently looking into this, you'd receive an update anytime soon. Further, I've passed on your experience as a feedback internally, we'll ensure such instances aren't repeated in the future. ^EM
[86020] AMAZONHELP: @134783 I certainly understand the gravity of this situation. Hence, please be assured you we'll get this sorted out at the earliest. Appreciate your patience while we work on this for you. ^EM
[86021] CUSTOMER: @134783 @AmazonHelp You deserve 0 compensation. Amazon requires to give you no extra money for causing you any grievances. This is an American based company following American laws which protect the company from customers like you trying to get free money in these situation. Greed gets you nowhere.
[86022] CUSTOMER: @AmazonHelp I filled the details you asked me to thru the link and I still haven't heard back from Amazon on my refund. If I'm not issued a refund immediately+compensation on account of this distress you've caused I'll be forced to go to the court. #cheaters #SHOCKED
[86023] AMAZONHELP: @134783 I'm sorry about the stretch. I'd like to inform you that we don't have a compensation policy. However as informed earlier, our team is looking into this and they will get back to you with an update shortly. Kindly wait for a response from our team. ^EM
[86024] CUSTOMER: @AmazonHelp How long for your team to get back? Don't you have a timeframe?
[86025] AMAZONHELP: @134783 Our team would get back to you with an update anytime within 6-12 hours. Appreciate your patience. ^EM",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
74,319740,@AmazonHelp Already done and refund process is also being plightbut my question is Why and how this happened and what compensation is being offered?,"[319740] AMAZONHELP: @192222 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
[319741] CUSTOMER: @AmazonHelp Already done and refund process is also being plightbut my question is Why and how this happened and what compensation is being offered?
[319742] CUSTOMER: @115850 This was delivered, @115850 could you please cross check why did it happen and how would you compensate this? https://t.co/WhSKOx5vB5
[319743] CUSTOMER: Different products were delivered and it is totally a disappointment from @115850 Had ordered Bosch's set bit got Tarparia's, WHY?? https://t.co/mDiL2XZXSK
[319744] AMAZONHELP: @192222 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. ^GK
[319745] AMAZONHELP: @192222 I'm sorry for the wrong item delivered. Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll check it.^GK
[319990] CUSTOMER: @AmazonHelp Please check the snapshots, it has all the relevant details .. But FYI:  Order Id: 405-2542914-7230727
[319991] AMAZONHELP: @192222 please don't share your order details, we consider it personal information. Our Twitter page is visible to public. [2/2] ^HA
[319992] AMAZONHELP: @192222 I'm afraid we can't access your order details from Twitter. And as mentioned earlier [1/2] ^HA
[319993] CUSTOMER: @AmazonHelp I have done the suggested steps on the Amazon Page itself ..  Left the Feedback, what else is required?
[319994] AMAZONHELP: @192222 Have you contacted our support team for the issue you're facing? If not, please do so from the link provided earlier. ^HA
[319995] CUSTOMER: @AmazonHelp Done that, please do check and explain WHY and how did it happen and what is the Refund status.",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
75,499971,"@AmazonHelp Thanks. I filled in the form, but the only response was: “this item isn’t eligible for return.” 🤔","[499971] AMAZONHELP: @234419 Oh my goodness! Yes, please reach out to us so that we can see about a replacement, here: https://t.co/JzP7hlA23B ^GP
[499972] CUSTOMER: @AmazonHelp Thanks. I filled in the form, but the only response was: “this item isn’t eligible for return.” 🤔
[499974] AMAZONHELP: @234419 Okay, thanks for the update, Jordan! If you can revisit the link and select the option to contact us via phone, we can take a look at this in real time and see which options are available for you. We'd love to help get this taken care of for you! ^SM
[499975] CUSTOMER: @AmazonHelp Thanks. Followed your advice, this is what happened...

“Your number has been blocked by our CallMeNow service, please contact us on 0800 496 1081”

I call that # and get this message: 
“Sorry we’ve recently changed our numbers, please visit https://t.co/myoHjwydqC”

What now?!",returns_refund_inquiry,True,"The customer is unable to return the item despite being directed to a replacement/return flow, and needs support to determine available resolution options",Medium,"The AI intent is correct, but the escalation reason should reflect return eligibility / replacement resolution, not refund timeline/status. The customer is also unable to reach phone support, so assistance requires further investigation",True,corrected,returns_refund_inquiry,True,Easy
76,73428,@AmazonHelp If they respond today do you think I can get the exchange in time though?,"[73428] AMAZONHELP: @132320 Hi Michael, we do give the seller 2 days to respond. If they haven't responded by today please contact us via this link: https://t.co/JzP7hlA23B. We will do our best to help you! ^JC.
[73429] CUSTOMER: @AmazonHelp If they respond today do you think I can get the exchange in time though?
[73430] CUSTOMER: @AmazonHelp put in the return request yesterday and still waiting to hear back from the seller
[73431] AMAZONHELP: @132320 Hi Michael, the seller would be the best person to advise on the timings. ^HS
[73432] CUSTOMER: @AmazonHelp And if they won't be able to get it for me, will I be able to cancel the exchange request and put a request for a refund in?
[73433] AMAZONHELP: @132320 Hi Michael! As HS said, it would be best to contact the seller since all sellers have their own polices for returns/exchanges. ^JY
[73434] AMAZONHELP: @132320 Hi Michael, sorry to hear this. Were you able to get a return label organised for your suit?^PJ",returns_refund_inquiry,True,Requires return/refund account verification,Easy,Confirmed AI pre-label: Inferred return/refund query from conversation context,True,confirmed,returns_refund_inquiry,True,Easy
77,1387718,@AmazonHelp It was a replacement for a cracked screen. I only got the replacement maybe a month ago and it's been this way since I got it.,"[1387718] AMAZONHELP: @442884 Hi Aoife- What was the reason for replacement? Has this just started happening or from when you received the Kindle? ^NV
[1387719] CUSTOMER: @AmazonHelp It was a replacement for a cracked screen. I only got the replacement maybe a month ago and it's been this way since I got it.
[1387721] AMAZONHELP: @442884 Thanks for clarifying Aoife. Best to get in touch with our digital team for further troubleshooting - https://t.co/JzP7hlA23B ^TP
[1387722] CUSTOMER: @AmazonHelp Thanks! :)",device_hardware_support,True,The customer reports a persistent hardware/device problem with a replacement Kindle and Amazon has already directed them to the digital team for troubleshooting,Medium,AI incorrectly classified this as unclear_other. The issue is clearly a Kindle/device hardware problem that existed from the time the replacement was received. No private order lookup is explicitly required from this conversation.,True,corrected,unclear_other,True,Easy
78,1236258,@115850 these are the return details for which I didn't get my money back. https://t.co/7kapMFzQ3N,"[1236258] AMAZONHELP: @403482 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV
[1236259] CUSTOMER: @115850 these are the return details for which I didn't get my money back. https://t.co/7kapMFzQ3N
[1236260] AMAZONHELP: @403482 We understand your concern, Suheb. Please reach us from the link shared. We'll check this and assist you. (1/2) ^SV",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
79,903642,"@AmazonHelp I ordered a makeup organizer &amp; it came chipped. Don't really want to go thru the exchange process, do you do partial refunds?","[903642] AMAZONHELP: @334513 or a third-party seller? You can view this under the item name in your orders here: https://t.co/Y5jpI9gRhE ^HC (2/2)
[903643] CUSTOMER: @AmazonHelp I ordered a makeup organizer &amp; it came chipped. Don't really want to go thru the exchange process, do you do partial refunds?
[903644] AMAZONHELP: @334513 Oh no! I'm sorry your makeup organizer came chipped! We'd like to help. Just to confirm, was it said to be shipped by Amazon (1/2)
[903645] CUSTOMER: @AmazonHelp It was shipped by Amazon
[903646] AMAZONHELP: @334513 Thanks for confirming! Please reach us by phone here: https://t.co/hApLpMlfHN, for avail options. ^JM",item_condition_issue,True,The customer received a chipped product and is asking whether a partial refund is available; resolving the compensation option requires order/account verification.,Medium,"AI focused on the requested refund, but the underlying issue is a damaged/chipped product. The partial refund is the proposed resolution.",True,corrected,returns_refund_inquiry,True,Easy
80,957550,"@AmazonHelp @AmazonHelp Reply was done without carefully looking into problem, tired of explaining, didn't get refund for one of the two items.","[957550] AMAZONHELP: @347203 We've sent a correspondence to your registered email address. Please check and you may write back to the same. ^SQ
[957551] CUSTOMER: @AmazonHelp @AmazonHelp Reply was done without carefully looking into problem, tired of explaining, didn't get refund for one of the two items.
[957553] AMAZONHELP: @347203 If you've replied to the email sent. I'm sure our team would reach out to you soon with an update. ^VM
[957554] CUSTOMER: @AmazonHelp @AmazonHelp @115850 Why cant you see the history and understand the issue before replying,Why making me explain the same thing 100 times?
[957555] AMAZONHELP: @347203 We're unable to check the details. I'd request you to reply to the email from us for further information on your refund. ^JC
[957556] CUSTOMER: @AmazonHelp I sent the reply to the email already @AmazonHelp
[957557] AMAZONHELP: @347203 You must have received a correspondence here: https://t.co/8DAc119Io4. Please check &amp; reply for any further assistance. ^BS
[957558] CUSTOMER: @AmazonHelp @115821 @AmazonHelp Ohh God I dont know how to explain you guys,very irritating. On this I replied and gave my feedback already. 1/2
[957559] AMAZONHELP: @347203 We can't access your account details from Twitter. Please reply to our emails for further updates. ^HA
[957560] CUSTOMER: @AmazonHelp I guess I received the refund yesterday. Thanks @AmazonHelp . This was the first time I faced such issue.Usually Amazon is good.
[957561] AMAZONHELP: @347203 Thank you for sharing the information. Happy shopping! ^GU",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
81,728314,"@119356 @115821 @AmazonHelp Ordered Canon 80D with 18-135mm lens instead got 700D. Now after 15 days exchange/refund denied. 
Disappointing","[728314] AMAZONHELP: @294483 your details here: https://t.co/JhpCsKEjwl and I'll get back to you. 2/2 ^SH
[728315] CUSTOMER: @119356 @115821 @AmazonHelp Ordered Canon 80D with 18-135mm lens instead got 700D. Now after 15 days exchange/refund denied. 
Disappointing
[728316] AMAZONHELP: @294483 I'm sorry to know you received an incorrect item. I'd like to look into the issue and assist you with it. Please provide 1/2 ^SH
[728317] CUSTOMER: @119356 @115821 @AmazonHelp Nothing has been resolved till date. The only option is now to file a formal complaint with the authorities and consumer forum
[2671146] AMAZONHELP: @294483 We're sorry to know your concern isn't resolved. However, could you please elaborate it so we can assist you accordingly.^SF
[2671147] CUSTOMER: @AmazonHelp sent a direct msg which already has the conversation between us
[2671148] AMAZONHELP: @294483 We have replied you via DM. Kindly check and keep us posted. ^BS",item_condition_issue,True,"Customer received the wrong camera model and has been denied exchange/refund, requiring order investigation and resolution.",Medium,AI incorrectly focused on the denied refund/exchange. The primary issue is the incorrect item received (Canon 700D instead of Canon 80D + lens). The refund/exchange denial is the attempted resolution.,True,corrected,returns_refund_inquiry,True,Easy
82,2602311,@AmazonHelp Not frustrated at all 😂 i looked up the return policy. Thank you.,"[2602311] AMAZONHELP: @736496 Cool, we are here if you need any help ^BZ
[2602312] CUSTOMER: @AmazonHelp Not frustrated at all 😂 i looked up the return policy. Thank you.
[2602313] AMAZONHELP: @736496 I'm sorry for the frustration! We'd like to address your concerns. Without providing any personal or account information, can you tell us more about any issues you're having?  ^CN",returns_refund_inquiry,False,Customer only looked up the return policy and is satisfied; no order/account investigation is needed.,Easy,"AI intent is reasonable, but escalation is clearly wrong. This is a general return-policy inquiry already resolved by the customer, not a case requiring private support.",True,corrected,returns_refund_inquiry,True,Easy
83,326343,"@AmazonHelp Shared all details over email. It's over 15 days, no hope getting any refund. Stop fooling people.","[326343] AMAZONHELP: @193748 We can't access your account over Twitter. Kindly share the same over the secure link we had shared. ^CB
[326344] CUSTOMER: @AmazonHelp Shared all details over email. It's over 15 days, no hope getting any refund. Stop fooling people.
[326345] AMAZONHELP: @193748 Sorry for the trouble. Please share your details in the link shared earlier. ^HN",returns_refund_inquiry,True,Requires order lookup for refund timeline/status,Easy,Confirmed AI pre-label: Return process or refund timeframe inquiry,True,confirmed,returns_refund_inquiry,True,Easy
84,477755,@AmazonHelp I would like to know if this is a common problem and if company is planning to resolve it through update? Or is it only my case? Accordingly I would request for replacement from amazon.,"[477755] AMAZONHELP: @228493 I'm sorry to know that you're having issues with your device. Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG
[477756] CUSTOMER: @AmazonHelp I would like to know if this is a common problem and if company is planning to resolve it through update? Or is it only my case? Accordingly I would request for replacement from amazon.
[477758] AMAZONHELP: @228493 I understand that you've issues with the device. Kindly let us know if you've reported this to our support team. If not, please reach out to them through the link shared earlier so that they can assist you with this right away. ^BV
[477759] CUSTOMER: @AmazonHelp Ok, I'll contact them
[477760] AMAZONHELP: @228493 Sure. Keep us posted for any concerns. ^SG",device_hardware_support,False,Customer has a device issue and is asking whether it is a known software/device problem and whether an update will fix it; no private order lookup is explicitly required.,Medium,AI incorrectly classified this as unclear_other. The conversation clearly identifies a device problem. The replacement request is conditional on whether the issue is widespread/fixable.,True,corrected,unclear_other,True,Easy
